Index,Process,CPU,Time,TypeOfTrace,Function,Duration
1766,ether_ros-3990,[003],10786266766,funcgraph,ecrt_master_receive(),6.803
1767,ether_ros-3990,[003],10786266768,funcgraph,kernel_recvmsg(),3.330
1768,ether_ros-3990,[003],10786266773,funcgraph,kernel_recvmsg(),0.433
1769,ether_ros-3990,[003],10786266788,funcgraph,ecrt_master_send(),10.492
1770,ether_ros-3990,[003],10786266789,funcgraph,kernel_sendmsg(),8.559
1771,ether_ros-3990,[003],10786266795,funcgraph,e1000_xmit_frame(),1.544
1772,irq/33-enp5s0-r-2502,[003],10786266851,funcgraph,e1000_intr_msix_rx(),0.483
1773,irq/33-enp5s0-r-2502,[003],10786266853,funcgraph,net_rx_action(),6.362
1774,irq/33-enp5s0-r-2502,[003],10786266855,funcgraph,napi_gro_receive(),1.778
1775,irq/33-enp5s0-r-2502,[003],10786266861,funcgraph,net_rx_action(),3.660
1776,irq/33-enp5s0-r-2502,[003],10786266862,funcgraph,__netif_receive_skb_core(),2.309
1777,irq/33-enp5s0-r-2502,[003],10786266863,funcgraph,packet_rcv(),0.890
1778,ether_ros-3990,[003],10786270766,funcgraph,ecrt_master_receive(),6.568
1779,ether_ros-3990,[003],10786270768,funcgraph,kernel_recvmsg(),3.255
1780,ether_ros-3990,[003],10786270772,funcgraph,kernel_recvmsg(),0.435
1781,ether_ros-3990,[003],10786270788,funcgraph,ecrt_master_send(),10.689
1782,ether_ros-3990,[003],10786270789,funcgraph,kernel_sendmsg(),8.647
1783,ether_ros-3990,[003],10786270795,funcgraph,e1000_xmit_frame(),1.606
1784,irq/33-enp5s0-r-2502,[003],10786270889,funcgraph,e1000_intr_msix_rx(),0.485
1785,irq/33-enp5s0-r-2502,[003],10786270891,funcgraph,net_rx_action(),6.424
1786,irq/33-enp5s0-r-2502,[003],10786270893,funcgraph,napi_gro_receive(),1.758
1787,irq/33-enp5s0-r-2502,[003],10786270899,funcgraph,net_rx_action(),3.742
1788,irq/33-enp5s0-r-2502,[003],10786270900,funcgraph,__netif_receive_skb_core(),2.335
1789,irq/33-enp5s0-r-2502,[003],10786270901,funcgraph,packet_rcv(),0.925
1790,ether_ros-3990,[003],10786274765,funcgraph,ecrt_master_receive(),7.267
1791,ether_ros-3990,[003],10786274767,funcgraph,kernel_recvmsg(),3.380
1792,ether_ros-3990,[003],10786274772,funcgraph,kernel_recvmsg(),0.461
1793,ether_ros-3990,[003],10786274788,funcgraph,ecrt_master_send(),10.860
1794,ether_ros-3990,[003],10786274800,funcgraph,kernel_sendmsg(),8.677
1795,ether_ros-3990,[003],10786274806,funcgraph,e1000_xmit_frame(),1.559
1796,irq/33-enp5s0-r-2502,[003],10786274896,funcgraph,e1000_intr_msix_rx(),0.483
1797,irq/33-enp5s0-r-2502,[003],10786274903,funcgraph,net_rx_action(),6.445
1798,irq/33-enp5s0-r-2502,[003],10786274905,funcgraph,napi_gro_receive(),1.717
