Index,Process,CPU,Time,TypeOfTrace,Function,Duration
1413,irq/33-enp5s0-r-2502,[003],10786146889,funcgraph,net_rx_action(),6.374
1414,irq/33-enp5s0-r-2502,[003],10786146891,funcgraph,napi_gro_receive(),1.747
1415,irq/33-enp5s0-r-2502,[003],10786146897,funcgraph,net_rx_action(),3.830
1416,irq/33-enp5s0-r-2502,[003],10786146898,funcgraph,__netif_receive_skb_core(),2.441
1417,irq/33-enp5s0-r-2502,[003],10786146899,funcgraph,packet_rcv(),0.932
1418,ether_ros-3990,[003],10786150763,funcgraph,ecrt_master_receive(),6.675
1419,ether_ros-3990,[003],10786150765,funcgraph,kernel_recvmsg(),3.232
1420,ether_ros-3990,[003],10786150770,funcgraph,kernel_recvmsg(),0.456
1421,ether_ros-3990,[003],10786150786,funcgraph,ecrt_master_send(),10.619
1422,ether_ros-3990,[003],10786150787,funcgraph,kernel_sendmsg(),8.655
1423,ether_ros-3990,[003],10786150793,funcgraph,e1000_xmit_frame(),1.551
1424,irq/33-enp5s0-r-2502,[003],10786150887,funcgraph,e1000_intr_msix_rx(),0.499
1425,irq/33-enp5s0-r-2502,[003],10786150889,funcgraph,net_rx_action(),6.418
1426,irq/33-enp5s0-r-2502,[003],10786150891,funcgraph,napi_gro_receive(),1.761
